Variation #,Input,Size
673,"Tensor<[197, 768]> input = ?","List[int] size = [1, 197, 768]"
674,"Tensor<[1, 197, 768]> input = ?","List[int] size = [1, 197, 12, 64]"
675,"Tensor<[1, 12, 197, 64]> input = ?","List[int] size = [12, 197, 64]"
676,"Tensor<[1, 12, 64, 197]> input = ?","List[int] size = [12, 64, 197]"
677,"Tensor<[12, 197, 197]> input = ?","List[int] size = [1, 12, 197, 197]"
678,"Tensor<[1, 12, 197, 197]> input = ?","List[int] size = [12, 197, 197]"
679,"Tensor<[12, 197, 64]> input = ?","List[int] size = [1, 12, 197, 64]"
680,"Tensor<[1, 197, 12, 64]> input = ?","List[int] size = [1, 197, 768]"
681,"Tensor<[197, 3072]> input = ?","List[int] size = [1, 197, 3072]"
682,"Tensor<[1, 197, 3072]> input = ?","List[int] size = [197, 3072]"
683,"Tensor<[1, 1280, 1, 1]> input = ?","List[int] size = [1, 1280]"
684,"Tensor<[1, 1536, 1, 1]> input = ?","List[int] size = [1, 1536]"
685,"Tensor<[197, 197]> input = ?",List[int] size = [-1]
686,"Tensor<[38809, 12]> input = ?","List[int] size = [197, 197, -1]"
687,"Tensor<[1, 1024, 14, 14]> input = ?","List[int] size = [1, 1024, 196]"
688,"Tensor<[1, 197, 1024]> input = ?","List[int] size = [197, 1024]"
689,"Tensor<[197, 1024]> input = ?","List[int] size = [1, 197, 1024]"
690,"Tensor<[1, 197, 1024]> input = ?","List[int] size = [1, 197, 16, 64]"
691,"Tensor<[1, 16, 197, 64]> input = ?","List[int] size = [16, 197, 64]"
692,"Tensor<[1, 16, 64, 197]> input = ?","List[int] size = [16, 64, 197]"
693,"Tensor<[16, 197, 197]> input = ?","List[int] size = [1, 16, 197, 197]"
694,"Tensor<[38809, 16]> input = ?","List[int] size = [197, 197, -1]"
695,"Tensor<[1, 16, 197, 197]> input = ?","List[int] size = [16, 197, 197]"
696,"Tensor<[16, 197, 64]> input = ?","List[int] size = [1, 16, 197, 64]"
697,"Tensor<[1, 197, 16, 64]> input = ?","List[int] size = [1, 197, 1024]"
698,"Tensor<[197, 4096]> input = ?","List[int] size = [1, 197, 4096]"
699,"Tensor<[1, 197, 4096]> input = ?","List[int] size = [197, 4096]"
700,"Tensor<[1, 768, 196]> input = ?","List[int] size = [768, 196]"
701,"Tensor<[768, 384]> input = ?","List[int] size = [1, 768, 384]"
702,"Tensor<[1, 768, 384]> input = ?","List[int] size = [768, 384]"
703,"Tensor<[768, 196]> input = ?","List[int] size = [1, 768, 196]"
704,"Tensor<[1, 196, 768]> input = ?","List[int] size = [196, 768]"
705,"Tensor<[196, 3072]> input = ?","List[int] size = [1, 196, 3072]"
706,"Tensor<[1, 196, 3072]> input = ?","List[int] size = [196, 3072]"
707,"Tensor<[196, 768]> input = ?","List[int] size = [1, 196, 768]"
708,"Tensor<[1, 960, 1, 1]> input = ?","List[int] size = [1, 960]"
709,"Tensor<[1, 576, 1, 1]> input = ?","List[int] size = [1, 576]"
710,"Tensor<[1, 912, 1, 1]> input = ?","List[int] size = [1, 912]"
711,"Tensor<[1, 2520, 1, 1]> input = ?","List[int] size = [1, 2520]"
712,"Tensor<[1, 1008, 1, 1]> input = ?","List[int] size = [1, 1008]"
713,"Tensor<[1, 400, 1, 1]> input = ?","List[int] size = [1, 400]"
714,"Tensor<[1, 672, 1, 1]> input = ?","List[int] size = [1, 672]"
715,"Tensor<[1, 7392, 1, 1]> input = ?","List[int] size = [1, 7392]"
716,"Tensor<[1, 3024, 1, 1]> input = ?","List[int] size = [1, 3024]"
717,"Tensor<[1, 888, 1, 1]> input = ?","List[int] size = [1, 888]"
718,"Tensor<[1, 3712, 1, 1]> input = ?","List[int] size = [1, 3712]"
719,"Tensor<[1, 1512, 1, 1]> input = ?","List[int] size = [1, 1512]"
720,"Tensor<[1, 440, 1, 1]> input = ?","List[int] size = [1, 440]"
721,"Tensor<[1, 784, 1, 1]> input = ?","List[int] size = [1, 784]"
722,"Tensor<[1, 2016, 1, 1]> input = ?","List[int] size = [1, 2016]"
723,"Tensor<[1, 819, 100, 136]> input = ?","List[int] size = [1, -1, 91, 100, 136]"
724,"Tensor<[1, 819, 50, 68]> input = ?","List[int] size = [1, -1, 91, 50, 68]"
725,"Tensor<[1, 819, 25, 34]> input = ?","List[int] size = [1, -1, 91, 25, 34]"
726,"Tensor<[1, 819, 13, 17]> input = ?","List[int] size = [1, -1, 91, 13, 17]"
727,"Tensor<[1, 819, 7, 9]> input = ?","List[int] size = [1, -1, 91, 7, 9]"
728,"Tensor<[1, 36, 100, 136]> input = ?","List[int] size = [1, -1, 4, 100, 136]"
729,"Tensor<[1, 36, 50, 68]> input = ?","List[int] size = [1, -1, 4, 50, 68]"
730,"Tensor<[1, 36, 25, 34]> input = ?","List[int] size = [1, -1, 4, 25, 34]"
731,"Tensor<[1, 36, 13, 17]> input = ?","List[int] size = [1, -1, 4, 13, 17]"
732,"Tensor<[1, 36, 7, 9]> input = ?","List[int] size = [1, -1, 4, 7, 9]"
733,Tensor<[100]> input = ?,"List[int] size = [-1, 1]"
734,Tensor<[136]> input = ?,"List[int] size = [1, -1]"
735,"Tensor<[13600, 4]> input = ?","List[int] size = [-1, 1, 4]"
736,"Tensor<[9, 4]> input = ?","List[int] size = [1, -1, 4]"
737,"Tensor<[13600, 9, 4]> input = ?","List[int] size = [-1, 4]"
738,Tensor<[50]> input = ?,"List[int] size = [-1, 1]"
739,Tensor<[68]> input = ?,"List[int] size = [1, -1]"
740,"Tensor<[3400, 4]> input = ?","List[int] size = [-1, 1, 4]"
741,"Tensor<[3400, 9, 4]> input = ?","List[int] size = [-1, 4]"
742,Tensor<[25]> input = ?,"List[int] size = [-1, 1]"
743,Tensor<[34]> input = ?,"List[int] size = [1, -1]"
744,"Tensor<[850, 4]> input = ?","List[int] size = [-1, 1, 4]"
745,"Tensor<[850, 9, 4]> input = ?","List[int] size = [-1, 4]"
746,Tensor<[13]> input = ?,"List[int] size = [-1, 1]"
747,Tensor<[17]> input = ?,"List[int] size = [1, -1]"
748,"Tensor<[221, 4]> input = ?","List[int] size = [-1, 1, 4]"
749,"Tensor<[221, 9, 4]> input = ?","List[int] size = [-1, 4]"
750,Tensor<[7]> input = ?,"List[int] size = [-1, 1]"
751,Tensor<[9]> input = ?,"List[int] size = [1, -1]"
752,"Tensor<[63, 4]> input = ?","List[int] size = [-1, 1, 4]"
753,"Tensor<[63, 9, 4]> input = ?","List[int] size = [-1, 4]"
754,"Tensor<[0, 1, 4]> input = ?","List[int] size = [0, 4]"
755,"Tensor<[0, 2, 2]> input = ?","List[int] size = [0, 4]"
756,"Tensor<[1, 24, 768]> input = ?","List[int] size = [24, 768]"
757,"Tensor<[24, 768]> input = ?","List[int] size = [1, 24, 768]"
758,"Tensor<[1, 24, 768]> input = ?","List[int] size = [1, -1, 12, 64]"
759,"Tensor<[1, 24, 768]> input = ?","List[int] size = [1, 24, 12, 64]"
760,"Tensor<[1, 12, 24, 64]> input = ?","List[int] size = [12, -1, 64]"
761,"Tensor<[12, 24, 64]> input = ?","List[int] size = [12, -1, 64]"
762,"Tensor<[24, 12, 64]> input = ?","List[int] size = [24, 12, 64]"
763,"Tensor<[24, 64, 24]> input = ?","List[int] size = [24, 64, 24]"
764,"Tensor<[24, 12, 24]> input = ?","List[int] size = [24, 12, 24]"
765,"Tensor<[12, 24, 24]> input = ?","List[int] size = [12, 24, 24]"
766,"Tensor<[12, 24, 24]> input = ?","List[int] size = [1, 12, 24, 24]"
767,"Tensor<[1, 12, 24, 24]> input = ?","List[int] size = [12, 24, 24]"
768,"Tensor<[12, 24, 64]> input = ?","List[int] size = [1, 12, 24, 64]"
769,"Tensor<[24, 3072]> input = ?","List[int] size = [1, 24, 3072]"
770,"Tensor<[1, 24, 3072]> input = ?","List[int] size = [24, 3072]"
771,"Tensor<[1, 1, 80]> input = ?","List[int] size = [1, 80]"
772,"Tensor<[1, 256]> input = ?","List[int] size = [1, 1, 256]"
773,"Tensor<[1, 1, 256]> input = ?","List[int] size = [1, 256]"
774,"Tensor<[1, 1, 1280]> input = ?","List[int] size = [1, 1280]"
775,"Tensor<[1, 12, 1, 64]> input = ?","List[int] size = [12, -1, 64]"
776,"Tensor<[12, 1, 24]> input = ?","List[int] size = [1, 12, 1, 24]"
777,"Tensor<[1, 12, 1, 24]> input = ?","List[int] size = [12, 1, 24]"
778,"Tensor<[1, s0, 80]> input = ?","List[int] size = [<s0>, 80]"
779,"Tensor<[s0, 256]> input = ?","List[int] size = [1, <s0>, 256]"
780,"Tensor<[1, s0, 256]> input = ?","List[int] size = [<s0>, 256]"
781,"Tensor<[s0, 768]> input = ?","List[int] size = [1, <s0>, 768]"
782,"Tensor<[1, s0, 1280]> input = ?","List[int] size = [<s0>, 1280]"
783,"Tensor<[1, 12, 2, 64]> input = ?","List[int] size = [12, -1, 64]"
784,"Tensor<[1, 12, s0 + 1, 64]> input = ?","List[int] size = [12, -1, 64]"
785,"Tensor<[1, 12, s2 + 1, 64]> input = ?","List[int] size = [12, -1, 64]"
786,"Tensor<[1, 12, s4 + 1, 64]> input = ?","List[int] size = [12, -1, 64]"
787,"Tensor<[1, 12, s6 + 1, 64]> input = ?","List[int] size = [12, -1, 64]"
788,"Tensor<[1, 12, s8 + 1, 64]> input = ?","List[int] size = [12, -1, 64]"
789,"Tensor<[1, 12, s10 + 1, 64]> input = ?","List[int] size = [12, -1, 64]"
790,"Tensor<[24576, 1]> input = ?",List[int] size = [-1]
791,"Tensor<[1, 16, 38, 38]> input = ?","List[int] size = [1, -1, 4, 38, 38]"
792,"Tensor<[1, 24, 19, 19]> input = ?","List[int] size = [1, -1, 4, 19, 19]"
793,"Tensor<[1, 16, 3, 3]> input = ?","List[int] size = [1, -1, 4, 3, 3]"
794,"Tensor<[1, 16, 1, 1]> input = ?","List[int] size = [1, -1, 4, 1, 1]"
795,"Tensor<[1, 1, 1, 4, 4]> input = ?","List[int] size = [1, -1, 4]"
796,"Tensor<[1, 364, 38, 38]> input = ?","List[int] size = [1, -1, 91, 38, 38]"
797,"Tensor<[1, 546, 19, 19]> input = ?","List[int] size = [1, -1, 91, 19, 19]"
798,"Tensor<[1, 364, 3, 3]> input = ?","List[int] size = [1, -1, 91, 3, 3]"
799,"Tensor<[1, 364, 1, 1]> input = ?","List[int] size = [1, -1, 91, 1, 1]"
800,"Tensor<[1, 1, 1, 4, 91]> input = ?","List[int] size = [1, -1, 91]"
801,Tensor<[38]> input = ?,"List[int] size = [-1, 1]"
802,Tensor<[38]> input = ?,"List[int] size = [1, -1]"
803,"Tensor<[1444, 8]> input = ?","List[int] size = [-1, 2]"
804,Tensor<[19]> input = ?,"List[int] size = [-1, 1]"
805,Tensor<[19]> input = ?,"List[int] size = [1, -1]"
806,"Tensor<[361, 12]> input = ?","List[int] size = [-1, 2]"
807,"Tensor<[9, 8]> input = ?","List[int] size = [-1, 2]"
808,"Tensor<[1, 8]> input = ?","List[int] size = [-1, 2]"
809,"Tensor<[8732, 1, 4]> input = ?","List[int] size = [8732, 4]"
810,"Tensor<[8732, 2, 2]> input = ?","List[int] size = [8732, 4]"
811,"Tensor<[2401, 4]> input = ?","List[int] size = [49, 49, -1]"
812,"Tensor<[1, 56, 56, 128]> input = ?","List[int] size = [1, 8, 7, 8, 7, 128]"
813,"Tensor<[64, 49, 128]> input = ?","List[int] size = [3136, 128]"
814,"Tensor<[3136, 384]> input = ?","List[int] size = [64, 49, 384]"
815,"Tensor<[64, 49, 384]> input = ?","List[int] size = [64, 49, 3, 4, 32]"
816,"Tensor<[256, 49, 49]> input = ?","List[int] size = [64, 4, 49, 49]"
817,"Tensor<[64, 4, 49, 49]> input = ?","List[int] size = [256, 49, 49]"
818,"Tensor<[256, 49, 32]> input = ?","List[int] size = [64, 4, 49, 32]"
819,"Tensor<[3136, 128]> input = ?","List[int] size = [64, 49, 128]"
820,"Tensor<[64, 49, 128]> input = ?","List[int] size = [1, 8, 8, 7, 7, 128]"
821,"Tensor<[1, 56, 56, 128]> input = ?","List[int] size = [3136, 128]"
822,"Tensor<[3136, 512]> input = ?","List[int] size = [1, 56, 56, 512]"
823,"Tensor<[1, 56, 56, 512]> input = ?","List[int] size = [3136, 512]"
824,"Tensor<[3136, 128]> input = ?","List[int] size = [1, 56, 56, 128]"
825,"Tensor<[56, 56]> input = ?","List[int] size = [8, 7, 8, 7]"
826,"Tensor<[64, 4, 49, 49]> input = ?","List[int] size = [1, 64, 4, 49, 49]"
827,"Tensor<[1, 64, 4, 49, 49]> input = ?","List[int] size = [-1, 4, 49, 49]"
828,"Tensor<[1, 28, 28, 512]> input = ?","List[int] size = [784, 512]"
829,"Tensor<[784, 256]> input = ?","List[int] size = [1, 28, 28, 256]"
830,"Tensor<[2401, 8]> input = ?","List[int] size = [49, 49, -1]"
831,"Tensor<[1, 28, 28, 256]> input = ?","List[int] size = [1, 4, 7, 4, 7, 256]"
832,"Tensor<[16, 49, 256]> input = ?","List[int] size = [784, 256]"
833,"Tensor<[784, 768]> input = ?","List[int] size = [16, 49, 768]"
834,"Tensor<[16, 49, 768]> input = ?","List[int] size = [16, 49, 3, 8, 32]"
835,"Tensor<[128, 49, 49]> input = ?","List[int] size = [16, 8, 49, 49]"
836,"Tensor<[16, 8, 49, 49]> input = ?","List[int] size = [128, 49, 49]"
837,"Tensor<[128, 49, 32]> input = ?","List[int] size = [16, 8, 49, 32]"
838,"Tensor<[784, 256]> input = ?","List[int] size = [16, 49, 256]"
839,"Tensor<[16, 49, 256]> input = ?","List[int] size = [1, 4, 4, 7, 7, 256]"
840,"Tensor<[1, 28, 28, 256]> input = ?","List[int] size = [784, 256]"
841,"Tensor<[784, 1024]> input = ?","List[int] size = [1, 28, 28, 1024]"
842,"Tensor<[1, 28, 28, 1024]> input = ?","List[int] size = [784, 1024]"
843,"Tensor<[28, 28]> input = ?","List[int] size = [4, 7, 4, 7]"
844,"Tensor<[16, 8, 49, 49]> input = ?","List[int] size = [1, 16, 8, 49, 49]"
845,"Tensor<[1, 16, 8, 49, 49]> input = ?","List[int] size = [-1, 8, 49, 49]"
846,"Tensor<[1, 14, 14, 1024]> input = ?","List[int] size = [196, 1024]"
847,"Tensor<[196, 512]> input = ?","List[int] size = [1, 14, 14, 512]"
848,"Tensor<[2401, 16]> input = ?","List[int] size = [49, 49, -1]"
849,"Tensor<[1, 14, 14, 512]> input = ?","List[int] size = [1, 2, 7, 2, 7, 512]"
850,"Tensor<[4, 49, 512]> input = ?","List[int] size = [196, 512]"
851,"Tensor<[196, 1536]> input = ?","List[int] size = [4, 49, 1536]"
852,"Tensor<[4, 49, 1536]> input = ?","List[int] size = [4, 49, 3, 16, 32]"
853,"Tensor<[64, 49, 49]> input = ?","List[int] size = [4, 16, 49, 49]"
854,"Tensor<[4, 16, 49, 49]> input = ?","List[int] size = [64, 49, 49]"
855,"Tensor<[64, 49, 32]> input = ?","List[int] size = [4, 16, 49, 32]"
856,"Tensor<[196, 512]> input = ?","List[int] size = [4, 49, 512]"
857,"Tensor<[4, 49, 512]> input = ?","List[int] size = [1, 2, 2, 7, 7, 512]"
858,"Tensor<[1, 14, 14, 512]> input = ?","List[int] size = [196, 512]"
859,"Tensor<[196, 2048]> input = ?","List[int] size = [1, 14, 14, 2048]"
860,"Tensor<[1, 14, 14, 2048]> input = ?","List[int] size = [196, 2048]"
861,"Tensor<[14, 14]> input = ?","List[int] size = [2, 7, 2, 7]"
862,"Tensor<[4, 16, 49, 49]> input = ?","List[int] size = [1, 4, 16, 49, 49]"
863,"Tensor<[1, 4, 16, 49, 49]> input = ?","List[int] size = [-1, 16, 49, 49]"
864,"Tensor<[1, 7, 7, 2048]> input = ?","List[int] size = [49, 2048]"
865,"Tensor<[49, 1024]> input = ?","List[int] size = [1, 7, 7, 1024]"
866,"Tensor<[2401, 32]> input = ?","List[int] size = [49, 49, -1]"
867,"Tensor<[1, 7, 7, 1024]> input = ?","List[int] size = [1, 1, 7, 1, 7, 1024]"
868,"Tensor<[1, 1, 1, 7, 7, 1024]> input = ?","List[int] size = [1, 49, 1024]"
869,"Tensor<[1, 49, 1024]> input = ?","List[int] size = [49, 1024]"
870,"Tensor<[49, 3072]> input = ?","List[int] size = [1, 49, 3072]"
871,"Tensor<[1, 49, 3072]> input = ?","List[int] size = [1, 49, 3, 32, 32]"
872,"Tensor<[1, 32, 49, 32]> input = ?","List[int] size = [32, 49, 32]"
873,"Tensor<[1, 32, 32, 49]> input = ?","List[int] size = [32, 32, 49]"
874,"Tensor<[32, 49, 49]> input = ?","List[int] size = [1, 32, 49, 49]"
875,"Tensor<[1, 32, 49, 49]> input = ?","List[int] size = [32, 49, 49]"
876,"Tensor<[32, 49, 32]> input = ?","List[int] size = [1, 32, 49, 32]"
877,"Tensor<[49, 1024]> input = ?","List[int] size = [1, 49, 1024]"
878,"Tensor<[1, 49, 1024]> input = ?","List[int] size = [1, 1, 1, 7, 7, 1024]"
879,"Tensor<[1, 1, 7, 1, 7, 1024]> input = ?","List[int] size = [1, 7, 7, 1024]"
880,"Tensor<[1, 7, 7, 1024]> input = ?","List[int] size = [49, 1024]"
881,"Tensor<[49, 4096]> input = ?","List[int] size = [1, 7, 7, 4096]"
882,"Tensor<[1, 7, 7, 4096]> input = ?","List[int] size = [49, 4096]"
883,"Tensor<[2401, 3]> input = ?","List[int] size = [49, 49, -1]"
884,"Tensor<[1, 56, 56, 96]> input = ?","List[int] size = [1, 8, 7, 8, 7, 96]"
885,"Tensor<[64, 49, 96]> input = ?","List[int] size = [3136, 96]"
886,"Tensor<[3136, 288]> input = ?","List[int] size = [64, 49, 288]"
887,"Tensor<[64, 49, 288]> input = ?","List[int] size = [64, 49, 3, 3, 32]"
888,"Tensor<[192, 49, 49]> input = ?","List[int] size = [64, 3, 49, 49]"
889,"Tensor<[64, 3, 49, 49]> input = ?","List[int] size = [192, 49, 49]"
890,"Tensor<[192, 49, 32]> input = ?","List[int] size = [64, 3, 49, 32]"
891,"Tensor<[3136, 96]> input = ?","List[int] size = [64, 49, 96]"
892,"Tensor<[64, 49, 96]> input = ?","List[int] size = [1, 8, 8, 7, 7, 96]"
893,"Tensor<[1, 56, 56, 96]> input = ?","List[int] size = [3136, 96]"
894,"Tensor<[3136, 384]> input = ?","List[int] size = [1, 56, 56, 384]"
895,"Tensor<[1, 56, 56, 384]> input = ?","List[int] size = [3136, 384]"
896,"Tensor<[3136, 96]> input = ?","List[int] size = [1, 56, 56, 96]"
897,"Tensor<[64, 3, 49, 49]> input = ?","List[int] size = [1, 64, 3, 49, 49]"
898,"Tensor<[1, 64, 3, 49, 49]> input = ?","List[int] size = [-1, 3, 49, 49]"
899,"Tensor<[1, 28, 28, 384]> input = ?","List[int] size = [784, 384]"
900,"Tensor<[784, 192]> input = ?","List[int] size = [1, 28, 28, 192]"
901,"Tensor<[2401, 6]> input = ?","List[int] size = [49, 49, -1]"
902,"Tensor<[1, 28, 28, 192]> input = ?","List[int] size = [1, 4, 7, 4, 7, 192]"
903,"Tensor<[16, 49, 192]> input = ?","List[int] size = [784, 192]"
904,"Tensor<[784, 576]> input = ?","List[int] size = [16, 49, 576]"
905,"Tensor<[16, 49, 576]> input = ?","List[int] size = [16, 49, 3, 6, 32]"
906,"Tensor<[96, 49, 49]> input = ?","List[int] size = [16, 6, 49, 49]"
907,"Tensor<[16, 6, 49, 49]> input = ?","List[int] size = [96, 49, 49]"
908,"Tensor<[96, 49, 32]> input = ?","List[int] size = [16, 6, 49, 32]"
909,"Tensor<[784, 192]> input = ?","List[int] size = [16, 49, 192]"
910,"Tensor<[16, 49, 192]> input = ?","List[int] size = [1, 4, 4, 7, 7, 192]"
911,"Tensor<[1, 28, 28, 192]> input = ?","List[int] size = [784, 192]"
912,"Tensor<[784, 768]> input = ?","List[int] size = [1, 28, 28, 768]"
913,"Tensor<[1, 28, 28, 768]> input = ?","List[int] size = [784, 768]"
914,"Tensor<[16, 6, 49, 49]> input = ?","List[int] size = [1, 16, 6, 49, 49]"
915,"Tensor<[1, 16, 6, 49, 49]> input = ?","List[int] size = [-1, 6, 49, 49]"
916,"Tensor<[1, 14, 14, 768]> input = ?","List[int] size = [196, 768]"
917,"Tensor<[196, 384]> input = ?","List[int] size = [1, 14, 14, 384]"
918,"Tensor<[2401, 12]> input = ?","List[int] size = [49, 49, -1]"
919,"Tensor<[1, 14, 14, 384]> input = ?","List[int] size = [1, 2, 7, 2, 7, 384]"
920,"Tensor<[4, 49, 384]> input = ?","List[int] size = [196, 384]"
921,"Tensor<[196, 1152]> input = ?","List[int] size = [4, 49, 1152]"
922,"Tensor<[4, 49, 1152]> input = ?","List[int] size = [4, 49, 3, 12, 32]"
923,"Tensor<[48, 49, 49]> input = ?","List[int] size = [4, 12, 49, 49]"
924,"Tensor<[4, 12, 49, 49]> input = ?","List[int] size = [48, 49, 49]"
925,"Tensor<[48, 49, 32]> input = ?","List[int] size = [4, 12, 49, 32]"
926,"Tensor<[196, 384]> input = ?","List[int] size = [4, 49, 384]"
927,"Tensor<[4, 49, 384]> input = ?","List[int] size = [1, 2, 2, 7, 7, 384]"
928,"Tensor<[1, 14, 14, 384]> input = ?","List[int] size = [196, 384]"
929,"Tensor<[196, 1536]> input = ?","List[int] size = [1, 14, 14, 1536]"
930,"Tensor<[1, 14, 14, 1536]> input = ?","List[int] size = [196, 1536]"
931,"Tensor<[4, 12, 49, 49]> input = ?","List[int] size = [1, 4, 12, 49, 49]"
932,"Tensor<[1, 4, 12, 49, 49]> input = ?","List[int] size = [-1, 12, 49, 49]"
933,"Tensor<[1, 7, 7, 1536]> input = ?","List[int] size = [49, 1536]"
934,"Tensor<[49, 768]> input = ?","List[int] size = [1, 7, 7, 768]"
935,"Tensor<[2401, 24]> input = ?","List[int] size = [49, 49, -1]"
936,"Tensor<[1, 7, 7, 768]> input = ?","List[int] size = [1, 1, 7, 1, 7, 768]"
937,"Tensor<[1, 1, 1, 7, 7, 768]> input = ?","List[int] size = [1, 49, 768]"
938,"Tensor<[1, 49, 768]> input = ?","List[int] size = [49, 768]"
939,"Tensor<[49, 2304]> input = ?","List[int] size = [1, 49, 2304]"
940,"Tensor<[1, 49, 2304]> input = ?","List[int] size = [1, 49, 3, 24, 32]"
941,"Tensor<[1, 24, 49, 32]> input = ?","List[int] size = [24, 49, 32]"
942,"Tensor<[1, 24, 32, 49]> input = ?","List[int] size = [24, 32, 49]"
943,"Tensor<[24, 49, 49]> input = ?","List[int] size = [1, 24, 49, 49]"
944,"Tensor<[1, 24, 49, 49]> input = ?","List[int] size = [24, 49, 49]"
945,"Tensor<[24, 49, 32]> input = ?","List[int] size = [1, 24, 49, 32]"
946,"Tensor<[49, 768]> input = ?","List[int] size = [1, 49, 768]"
947,"Tensor<[1, 49, 768]> input = ?","List[int] size = [1, 1, 1, 7, 7, 768]"
948,"Tensor<[1, 1, 7, 1, 7, 768]> input = ?","List[int] size = [1, 7, 7, 768]"
949,"Tensor<[1, 7, 7, 768]> input = ?","List[int] size = [49, 768]"
950,"Tensor<[49, 3072]> input = ?","List[int] size = [1, 7, 7, 3072]"
951,"Tensor<[1, 7, 7, 3072]> input = ?","List[int] size = [49, 3072]"
952,"Tensor<[1, 768, 1, 1]> input = ?","List[int] size = [1, 768]"
953,"Tensor<[1, 15, 15, 2]> input = ?","List[int] size = [225, 2]"
954,"Tensor<[225, 512]> input = ?","List[int] size = [1, 15, 15, 512]"
955,"Tensor<[1, 15, 15, 512]> input = ?","List[int] size = [225, 512]"
956,"Tensor<[225, 4]> input = ?","List[int] size = [1, 15, 15, 4]"
957,"Tensor<[1, 15, 15, 4]> input = ?","List[int] size = [-1, 4]"
958,"Tensor<[4096, 4]> input = ?","List[int] size = [64, 64, -1]"
959,"Tensor<[1, 64, 64, 128]> input = ?","List[int] size = [1, 8, 8, 8, 8, 128]"
960,"Tensor<[64, 64, 128]> input = ?","List[int] size = [4096, 128]"
961,"Tensor<[4096, 384]> input = ?","List[int] size = [64, 64, 384]"
962,"Tensor<[64, 64, 384]> input = ?","List[int] size = [64, 64, 3, 4, 32]"
963,"Tensor<[256, 64, 64]> input = ?","List[int] size = [64, 4, 64, 64]"
964,"Tensor<[64, 4, 64, 64]> input = ?","List[int] size = [256, 64, 64]"
965,"Tensor<[256, 64, 32]> input = ?","List[int] size = [64, 4, 64, 32]"
966,"Tensor<[4096, 128]> input = ?","List[int] size = [64, 64, 128]"
967,"Tensor<[64, 64, 128]> input = ?","List[int] size = [1, 8, 8, 8, 8, 128]"
968,"Tensor<[1, 64, 64, 128]> input = ?","List[int] size = [4096, 128]"
969,"Tensor<[4096, 512]> input = ?","List[int] size = [1, 64, 64, 512]"
970,"Tensor<[1, 64, 64, 512]> input = ?","List[int] size = [4096, 512]"
971,"Tensor<[4096, 128]> input = ?","List[int] size = [1, 64, 64, 128]"
972,"Tensor<[64, 64]> input = ?","List[int] size = [8, 8, 8, 8]"
973,"Tensor<[64, 4, 64, 64]> input = ?","List[int] size = [1, 64, 4, 64, 64]"
974,"Tensor<[1, 64, 4, 64, 64]> input = ?","List[int] size = [-1, 4, 64, 64]"
975,"Tensor<[1, 32, 32, 512]> input = ?","List[int] size = [1024, 512]"
976,"Tensor<[1024, 256]> input = ?","List[int] size = [1, 32, 32, 256]"
977,"Tensor<[225, 8]> input = ?","List[int] size = [1, 15, 15, 8]"
978,"Tensor<[1, 15, 15, 8]> input = ?","List[int] size = [-1, 8]"
979,"Tensor<[4096, 8]> input = ?","List[int] size = [64, 64, -1]"
980,"Tensor<[1, 32, 32, 256]> input = ?","List[int] size = [1, 4, 8, 4, 8, 256]"
981,"Tensor<[16, 64, 256]> input = ?","List[int] size = [1024, 256]"
982,"Tensor<[1024, 768]> input = ?","List[int] size = [16, 64, 768]"
983,"Tensor<[16, 64, 768]> input = ?","List[int] size = [16, 64, 3, 8, 32]"
984,"Tensor<[128, 64, 64]> input = ?","List[int] size = [16, 8, 64, 64]"
985,"Tensor<[16, 8, 64, 64]> input = ?","List[int] size = [128, 64, 64]"
986,"Tensor<[128, 64, 32]> input = ?","List[int] size = [16, 8, 64, 32]"
987,"Tensor<[1024, 256]> input = ?","List[int] size = [16, 64, 256]"
988,"Tensor<[16, 64, 256]> input = ?","List[int] size = [1, 4, 4, 8, 8, 256]"
989,"Tensor<[1, 32, 32, 256]> input = ?","List[int] size = [1024, 256]"
990,"Tensor<[1024, 1024]> input = ?","List[int] size = [1, 32, 32, 1024]"
991,"Tensor<[1, 32, 32, 1024]> input = ?","List[int] size = [1024, 1024]"
992,"Tensor<[32, 32]> input = ?","List[int] size = [4, 8, 4, 8]"
993,"Tensor<[16, 8, 64, 64]> input = ?","List[int] size = [1, 16, 8, 64, 64]"
994,"Tensor<[1, 16, 8, 64, 64]> input = ?","List[int] size = [-1, 8, 64, 64]"
995,"Tensor<[1, 16, 16, 1024]> input = ?","List[int] size = [256, 1024]"
996,"Tensor<[256, 512]> input = ?","List[int] size = [1, 16, 16, 512]"
997,"Tensor<[225, 16]> input = ?","List[int] size = [1, 15, 15, 16]"
998,"Tensor<[1, 15, 15, 16]> input = ?","List[int] size = [-1, 16]"
999,"Tensor<[4096, 16]> input = ?","List[int] size = [64, 64, -1]"
1000,"Tensor<[1, 16, 16, 512]> input = ?","List[int] size = [1, 2, 8, 2, 8, 512]"
1001,"Tensor<[4, 64, 512]> input = ?","List[int] size = [256, 512]"
1002,"Tensor<[256, 1536]> input = ?","List[int] size = [4, 64, 1536]"
1003,"Tensor<[4, 64, 1536]> input = ?","List[int] size = [4, 64, 3, 16, 32]"
1004,"Tensor<[64, 64, 64]> input = ?","List[int] size = [4, 16, 64, 64]"
1005,"Tensor<[4, 16, 64, 64]> input = ?","List[int] size = [64, 64, 64]"
